"","x"
"156","Greenlee County, Arizona"
"157","La Paz County, Arizona"
"158","Maricopa County, Arizona"
"159","Mohave County, Arizona"
"160","Navajo County, Arizona"
"161","Pima County, Arizona"
"162","Pinal County, Arizona"
"163","Santa Cruz County, Arizona"
"164","Yavapai County, Arizona"
"165","Yuma County, Arizona"
"166","Arkansas County, Arkansas"
"167","Ashley County, Arkansas"
"168","Baxter County, Arkansas"
"169","Benton County, Arkansas"
"170","Boone County, Arkansas"
"171","Bradley County, Arkansas"
"172","Calhoun County, Arkansas"
"173","Carroll County, Arkansas"
"174","Chicot County, Arkansas"
"175","Clark County, Arkansas"
"176","Clay County, Arkansas"
"177","Cleburne County, Arkansas"
"178","Cleveland County, Arkansas"
"179","Columbia County, Arkansas"
"180","Conway County, Arkansas"
"181","Craighead County, Arkansas"
"182","Crawford County, Arkansas"
"183","Crittenden County, Arkansas"
"184","Cross County, Arkansas"
"185","Dallas County, Arkansas"
"186","Desha County, Arkansas"
"187","Drew County, Arkansas"
"188","Faulkner County, Arkansas"
"189","Franklin County, Arkansas"
"190","Fulton County, Arkansas"
"191","Garland County, Arkansas"
"192","Grant County, Arkansas"
"193","Greene County, Arkansas"
"194","Hempstead County, Arkansas"
"195","Hot Spring County, Arkansas"
"196","Howard County, Arkansas"
"197","Independence County, Arkansas"
"198","Izard County, Arkansas"
"199","Jackson County, Arkansas"
"200","Jefferson County, Arkansas"
"201","Johnson County, Arkansas"
"202","Lafayette County, Arkansas"
"203","Lawrence County, Arkansas"
"204","Lee County, Arkansas"
"205","Lincoln County, Arkansas"
"206","Little River County, Arkansas"
"207","Logan County, Arkansas"
"208","Lonoke County, Arkansas"
"209","Madison County, Arkansas"
"210","Marion County, Arkansas"
"211","Miller County, Arkansas"
"212","Mississippi County, Arkansas"
"213","Monroe County, Arkansas"
"214","Montgomery County, Arkansas"
"215","Nevada County, Arkansas"
"216","Newton County, Arkansas"
"217","Ouachita County, Arkansas"
"218","Perry County, Arkansas"
"219","Phillips County, Arkansas"
"220","Pike County, Arkansas"
"221","Poinsett County, Arkansas"
"222","Polk County, Arkansas"
"223","Pope County, Arkansas"
"224","Prairie County, Arkansas"
"225","Pulaski County, Arkansas"
"226","Randolph County, Arkansas"
"227","St. Francis County, Arkansas"
"228","Saline County, Arkansas"
"229","Scott County, Arkansas"
"230","Searcy County, Arkansas"
"231","Sebastian County, Arkansas"
"232","Sevier County, Arkansas"
"233","Sharp County, Arkansas"
"234","Stone County, Arkansas"
"235","Union County, Arkansas"
"236","Van Buren County, Arkansas"
"237","Washington County, Arkansas"
"238","White County, Arkansas"
"239","Woodruff County, Arkansas"
"240","Yell County, Arkansas"
"241","Alameda County, California"
"242","Alpine County, California"
"243","Amador County, California"
"244","Butte County, California"
"245","Calaveras County, California"
"246","Colusa County, California"
"247","Contra Costa County, California"
"248","Del Norte County, California"
"249","El Dorado County, California"
"250","Fresno County, California"
"251","Glenn County, California"
"252","Humboldt County, California"
"253","Imperial County, California"
"254","Inyo County, California"
"255","Kern County, California"
"256","Kings County, California"
"257","Lake County, California"
"258","Lassen County, California"
"259","Los Angeles County, California"
"260","Madera County, California"
"261","Marin County, California"
"262","Mariposa County, California"
"263","Mendocino County, California"
"264","Merced County, California"
"265","Modoc County, California"
"266","Mono County, California"
"267","Monterey County, California"
"268","Napa County, California"
"269","Nevada County, California"
"270","Orange County, California"
"271","Placer County, California"
"272","Plumas County, California"
"273","Riverside County, California"
"274","Sacramento County, California"
"275","San Benito County, California"
"276","San Bernardino County, California"
"277","San Diego County, California"
"278","San Francisco County, California"
"279","San Joaquin County, California"
"280","San Luis Obispo County, California"
"281","San Mateo County, California"
"282","Santa Barbara County, California"
"283","Santa Clara County, California"
"284","Santa Cruz County, California"
"285","Shasta County, California"
"286","Sierra County, California"
"287","Siskiyou County, California"
"288","Solano County, California"
"289","Sonoma County, California"
"290","Stanislaus County, California"
"291","Sutter County, California"
"292","Tehama County, California"
"293","Trinity County, California"
"294","Tulare County, California"
"295","Tuolumne County, California"
"296","Ventura County, California"
"297","Yolo County, California"
"298","Yuba County, California"
"299","Adams County, Colorado"
"300","Alamosa County, Colorado"
"301","Arapahoe County, Colorado"
"302","Archuleta County, Colorado"
"303","Baca County, Colorado"
"304","Bent County, Colorado"
"305","Boulder County, Colorado"
"306","Broomfield County, Colorado"
"307","Chaffee County, Colorado"
"308","Cheyenne County, Colorado"
"309","Clear Creek County, Colorado"
"310","Conejos County, Colorado"
"311","Costilla County, Colorado"
"312","Crowley County, Colorado"
"313","Custer County, Colorado"
"314","Delta County, Colorado"
"315","Denver County, Colorado"
"316","Dolores County, Colorado"
"317","Douglas County, Colorado"
"318","Eagle County, Colorado"
"319","Elbert County, Colorado"
"320","El Paso County, Colorado"
"321","Fremont County, Colorado"
"322","Garfield County, Colorado"
"323","Gilpin County, Colorado"
"324","Grand County, Colorado"
"325","Gunnison County, Colorado"
"326","Hinsdale County, Colorado"
"327","Huerfano County, Colorado"
"328","Jackson County, Colorado"
"329","Jefferson County, Colorado"
"330","Kiowa County, Colorado"
"331","Kit Carson County, Colorado"
"332","Lake County, Colorado"
"333","La Plata County, Colorado"
"334","Larimer County, Colorado"
"335","Las Animas County, Colorado"
"336","Lincoln County, Colorado"
"337","Logan County, Colorado"
"338","Mesa County, Colorado"
"339","Mineral County, Colorado"
"340","Moffat County, Colorado"
"341","Montezuma County, Colorado"
"342","Montrose County, Colorado"
"343","Morgan County, Colorado"
"344","Otero County, Colorado"
"345","Ouray County, Colorado"
"346","Park County, Colorado"
"347","Phillips County, Colorado"
"348","Pitkin County, Colorado"
"349","Prowers County, Colorado"
"350","Pueblo County, Colorado"
"351","Rio Blanco County, Colorado"
"352","Rio Grande County, Colorado"
"353","Routt County, Colorado"
"354","Saguache County, Colorado"
"355","San Juan County, Colorado"
"356","San Miguel County, Colorado"
"357","Sedgwick County, Colorado"
"358","Summit County, Colorado"
"359","Teller County, Colorado"
"360","Washington County, Colorado"
"361","Weld County, Colorado"
"362","Yuma County, Colorado"
"363","Capitol Planning Region, Connecticut"
"364","Greater Bridgeport Planning Region, Connecticut"
"365","Lower Connecticut River Valley Planning Region, Connecticut"
"366","Naugatuck Valley Planning Region, Connecticut"
"367","Northeastern Connecticut Planning Region, Connecticut"
"368","Northwest Hills Planning Region, Connecticut"
"369","South Central Connecticut Planning Region, Connecticut"
"370","Southeastern Connecticut Planning Region, Connecticut"
"371","Western Connecticut Planning Region, Connecticut"
"372","Kent County, Delaware"
"373","New Castle County, Delaware"
"374","Sussex County, Delaware"
"375","District of Columbia, District of Columbia"
"376","Alachua County, Florida"
"377","Baker County, Florida"
"378","Bay County, Florida"
"379","Bradford County, Florida"
"380","Brevard County, Florida"
"381","Broward County, Florida"
"382","Calhoun County, Florida"
"383","Charlotte County, Florida"
"384","Citrus County, Florida"
"385","Clay County, Florida"
"386","Collier County, Florida"
"387","Columbia County, Florida"
"388","DeSoto County, Florida"
"389","Dixie County, Florida"
"390","Duval County, Florida"
"391","Escambia County, Florida"
"392","Flagler County, Florida"
"393","Franklin County, Florida"
"394","Gadsden County, Florida"
"395","Gilchrist County, Florida"
"396","Glades County, Florida"
"397","Gulf County, Florida"
"398","Hamilton County, Florida"
"399","Hardee County, Florida"
"400","Hendry County, Florida"
"401","Hernando County, Florida"
"402","Highlands County, Florida"
"403","Hillsborough County, Florida"
"404","Holmes County, Florida"
"405","Indian River County, Florida"
"406","Jackson County, Florida"
"407","Jefferson County, Florida"
"408","Lafayette County, Florida"
"409","Lake County, Florida"
"410","Lee County, Florida"
"411","Leon County, Florida"
"412","Levy County, Florida"
"413","Liberty County, Florida"
"414","Madison County, Florida"
"415","Manatee County, Florida"
"416","Marion County, Florida"
"417","Martin County, Florida"
"418","Miami-Dade County, Florida"
"419","Monroe County, Florida"
"420","Nassau County, Florida"
"421","Okaloosa County, Florida"
"422","Okeechobee County, Florida"
"423","Orange County, Florida"
"424","Osceola County, Florida"
"425","Palm Beach County, Florida"
"426","Pasco County, Florida"
"427","Pinellas County, Florida"
"428","Polk County, Florida"
"429","Putnam County, Florida"
"430","St. Johns County, Florida"
"431","St. Lucie County, Florida"
"432","Santa Rosa County, Florida"
"433","Sarasota County, Florida"
"434","Seminole County, Florida"
"435","Sumter County, Florida"
"436","Suwannee County, Florida"
"437","Taylor County, Florida"
"438","Union County, Florida"
"439","Volusia County, Florida"
"440","Wakulla County, Florida"
"441","Walton County, Florida"
"442","Washington County, Florida"
"443","Appling County, Georgia"
"444","Atkinson County, Georgia"
"445","Bacon County, Georgia"
"446","Baker County, Georgia"
"447","Baldwin County, Georgia"
"448","Banks County, Georgia"
"449","Barrow County, Georgia"
"450","Bartow County, Georgia"
"451","Ben Hill County, Georgia"
"452","Berrien County, Georgia"
"453","Bibb County, Georgia"
"454","Bleckley County, Georgia"
"455","Brantley County, Georgia"
"456","Brooks County, Georgia"
"457","Bryan County, Georgia"
"458","Bulloch County, Georgia"
"459","Burke County, Georgia"
"460","Butts County, Georgia"
"461","Calhoun County, Georgia"
"462","Camden County, Georgia"
"463","Candler County, Georgia"
"464","Carroll County, Georgia"
"465","Catoosa County, Georgia"
"466","Charlton County, Georgia"
"467","Chatham County, Georgia"
"468","Chattahoochee County, Georgia"
"469","Chattooga County, Georgia"
"470","Cherokee County, Georgia"
"471","Clarke County, Georgia"
"472","Clay County, Georgia"
"473","Clayton County, Georgia"
"474","Clinch County, Georgia"
"475","Cobb County, Georgia"
"476","Coffee County, Georgia"
"477","Colquitt County, Georgia"
"478","Columbia County, Georgia"
"479","Cook County, Georgia"
"480","Coweta County, Georgia"
"481","Crawford County, Georgia"
"482","Crisp County, Georgia"
"483","Dade County, Georgia"
"484","Dawson County, Georgia"
"485","Decatur County, Georgia"
"486","DeKalb County, Georgia"
"487","Dodge County, Georgia"
"488","Dooly County, Georgia"
"489","Dougherty County, Georgia"
"490","Douglas County, Georgia"
"491","Early County, Georgia"
"492","Echols County, Georgia"
"493","Effingham County, Georgia"
"494","Elbert County, Georgia"
"495","Emanuel County, Georgia"
"496","Evans County, Georgia"
"497","Fannin County, Georgia"
"498","Fayette County, Georgia"
"499","Floyd County, Georgia"
"500","Forsyth County, Georgia"
"501","Franklin County, Georgia"
"502","Fulton County, Georgia"
"503","Gilmer County, Georgia"
"504","Glascock County, Georgia"
"505","Glynn County, Georgia"
"506","Gordon County, Georgia"
"507","Grady County, Georgia"
"508","Greene County, Georgia"
"509","Gwinnett County, Georgia"
"510","Habersham County, Georgia"
"511","Hall County, Georgia"
"512","Hancock County, Georgia"
"513","Haralson County, Georgia"
"514","Harris County, Georgia"
"515","Hart County, Georgia"
"516","Heard County, Georgia"
"517","Henry County, Georgia"
"518","Houston County, Georgia"
"519","Irwin County, Georgia"
"520","Jackson County, Georgia"
"521","Jasper County, Georgia"
"522","Jeff Davis County, Georgia"
"523","Jefferson County, Georgia"
"524","Jenkins County, Georgia"
"525","Johnson County, Georgia"
"526","Jones County, Georgia"
"527","Lamar County, Georgia"
"528","Lanier County, Georgia"
"529","Laurens County, Georgia"
"530","Lee County, Georgia"
"531","Liberty County, Georgia"
"532","Lincoln County, Georgia"
"533","Long County, Georgia"
"534","Lowndes County, Georgia"
"535","Lumpkin County, Georgia"
"536","McDuffie County, Georgia"
"537","McIntosh County, Georgia"
"538","Macon County, Georgia"
"539","Madison County, Georgia"
"540","Marion County, Georgia"
"541","Meriwether County, Georgia"
"542","Miller County, Georgia"
"543","Mitchell County, Georgia"
"544","Monroe County, Georgia"
"545","Montgomery County, Georgia"
"546","Morgan County, Georgia"
"547","Murray County, Georgia"
"548","Muscogee County, Georgia"
"549","Newton County, Georgia"
"550","Oconee County, Georgia"
"551","Oglethorpe County, Georgia"
"552","Paulding County, Georgia"
"553","Peach County, Georgia"
"554","Pickens County, Georgia"
"555","Pierce County, Georgia"
"556","Pike County, Georgia"
"557","Polk County, Georgia"
"558","Pulaski County, Georgia"
"559","Putnam County, Georgia"
"560","Quitman County, Georgia"
"561","Rabun County, Georgia"
"562","Randolph County, Georgia"
"563","Richmond County, Georgia"
"564","Rockdale County, Georgia"
"565","Schley County, Georgia"
"566","Screven County, Georgia"
"567","Seminole County, Georgia"
"568","Spalding County, Georgia"
"569","Stephens County, Georgia"
"570","Stewart County, Georgia"
"571","Sumter County, Georgia"
"572","Talbot County, Georgia"
"573","Taliaferro County, Georgia"
"574","Tattnall County, Georgia"
"575","Taylor County, Georgia"
"576","Telfair County, Georgia"
"577","Terrell County, Georgia"
"578","Thomas County, Georgia"
"579","Tift County, Georgia"
"580","Toombs County, Georgia"
"581","Towns County, Georgia"
"582","Treutlen County, Georgia"
"583","Troup County, Georgia"
"584","Turner County, Georgia"
"585","Twiggs County, Georgia"
"586","Union County, Georgia"
"587","Upson County, Georgia"
"588","Walker County, Georgia"
"589","Walton County, Georgia"
"590","Ware County, Georgia"
"591","Warren County, Georgia"
"592","Washington County, Georgia"
"593","Wayne County, Georgia"
"594","Webster County, Georgia"
"595","Wheeler County, Georgia"
"596","White County, Georgia"
"597","Whitfield County, Georgia"
"598","Wilcox County, Georgia"
"599","Wilkes County, Georgia"
"600","Wilkinson County, Georgia"
"601","Worth County, Georgia"
"602","Hawaii County, Hawaii"
"603","Honolulu County, Hawaii"
"604","Kalawao County, Hawaii"
"605","Kauai County, Hawaii"
"606","Maui County, Hawaii"
"607","Ada County, Idaho"
"608","Adams County, Idaho"
"609","Bannock County, Idaho"
"610","Bear Lake County, Idaho"
"611","Benewah County, Idaho"
"612","Bingham County, Idaho"
"613","Blaine County, Idaho"
"614","Boise County, Idaho"
"615","Bonner County, Idaho"
"616","Bonneville County, Idaho"
"617","Boundary County, Idaho"
"618","Butte County, Idaho"
"619","Camas County, Idaho"
"620","Canyon County, Idaho"
"621","Caribou County, Idaho"
"622","Cassia County, Idaho"
"623","Clark County, Idaho"
"624","Clearwater County, Idaho"
"625","Custer County, Idaho"
"626","Elmore County, Idaho"
"627","Franklin County, Idaho"
"628","Fremont County, Idaho"
"629","Gem County, Idaho"
"630","Gooding County, Idaho"
"631","Idaho County, Idaho"
"632","Jefferson County, Idaho"
"633","Jerome County, Idaho"
"634","Kootenai County, Idaho"
"635","Latah County, Idaho"
"636","Lemhi County, Idaho"
"637","Lewis County, Idaho"
"638","Lincoln County, Idaho"
"639","Madison County, Idaho"
"640","Minidoka County, Idaho"
"641","Nez Perce County, Idaho"
"642","Oneida County, Idaho"
"643","Owyhee County, Idaho"
"644","Payette County, Idaho"
"645","Power County, Idaho"
"646","Shoshone County, Idaho"
"647","Teton County, Idaho"
"648","Twin Falls County, Idaho"
"649","Valley County, Idaho"
"650","Washington County, Idaho"
"651","Adams County, Illinois"
"652","Alexander County, Illinois"
"653","Bond County, Illinois"
"654","Boone County, Illinois"
"655","Brown County, Illinois"
"656","Bureau County, Illinois"
"657","Calhoun County, Illinois"
"658","Carroll County, Illinois"
"659","Cass County, Illinois"
"660","Champaign County, Illinois"
"661","Christian County, Illinois"
"662","Clark County, Illinois"
"663","Clay County, Illinois"
"664","Clinton County, Illinois"
"665","Coles County, Illinois"
"666","Cook County, Illinois"
"667","Crawford County, Illinois"
"668","Cumberland County, Illinois"
"669","DeKalb County, Illinois"
"670","De Witt County, Illinois"
"671","Douglas County, Illinois"
"672","DuPage County, Illinois"
"673","Edgar County, Illinois"
"674","Edwards County, Illinois"
"675","Effingham County, Illinois"
"676","Fayette County, Illinois"
"677","Ford County, Illinois"
"678","Franklin County, Illinois"
"679","Fulton County, Illinois"
"680","Gallatin County, Illinois"
"681","Greene County, Illinois"
"682","Grundy County, Illinois"
"683","Hamilton County, Illinois"
"684","Hancock County, Illinois"
"685","Hardin County, Illinois"
"686","Henderson County, Illinois"
"687","Henry County, Illinois"
"688","Iroquois County, Illinois"
"689","Jackson County, Illinois"
"690","Jasper County, Illinois"
"691","Jefferson County, Illinois"
"692","Jersey County, Illinois"
"693","Jo Daviess County, Illinois"
"694","Johnson County, Illinois"
"695","Kane County, Illinois"
"696","Kankakee County, Illinois"
"697","Kendall County, Illinois"
"698","Knox County, Illinois"
"699","Lake County, Illinois"
"700","LaSalle County, Illinois"
"701","Lawrence County, Illinois"
"702","Lee County, Illinois"
"703","Livingston County, Illinois"
"704","Logan County, Illinois"
"705","McDonough County, Illinois"
"706","McHenry County, Illinois"
"707","McLean County, Illinois"
"708","Macon County, Illinois"
"709","Macoupin County, Illinois"
"710","Madison County, Illinois"
"711","Marion County, Illinois"
"712","Marshall County, Illinois"
"713","Mason County, Illinois"
"714","Massac County, Illinois"
"715","Menard County, Illinois"
"716","Mercer County, Illinois"
"717","Monroe County, Illinois"
"718","Montgomery County, Illinois"
"719","Morgan County, Illinois"
"720","Moultrie County, Illinois"
"721","Ogle County, Illinois"
"722","Peoria County, Illinois"
"723","Perry County, Illinois"
"724","Piatt County, Illinois"
"725","Pike County, Illinois"
"726","Pope County, Illinois"
"727","Pulaski County, Illinois"
"728","Putnam County, Illinois"
"729","Randolph County, Illinois"
"730","Richland County, Illinois"
"731","Rock Island County, Illinois"
"732","St. Clair County, Illinois"
"733","Saline County, Illinois"
"734","Sangamon County, Illinois"
"735","Schuyler County, Illinois"
"736","Scott County, Illinois"
"737","Shelby County, Illinois"
"738","Stark County, Illinois"
"739","Stephenson County, Illinois"
"740","Tazewell County, Illinois"
"741","Union County, Illinois"
"742","Vermilion County, Illinois"
"743","Wabash County, Illinois"
"744","Warren County, Illinois"
"745","Washington County, Illinois"
"746","Wayne County, Illinois"
"747","White County, Illinois"
"748","Whiteside County, Illinois"
"749","Will County, Illinois"
"750","Williamson County, Illinois"
"751","Winnebago County, Illinois"
"752","Woodford County, Illinois"
"753","Adams County, Indiana"
"754","Allen County, Indiana"
"755","Bartholomew County, Indiana"
"756","Benton County, Indiana"
"757","Blackford County, Indiana"
"758","Boone County, Indiana"
"759","Brown County, Indiana"
"760","Carroll County, Indiana"
"761","Cass County, Indiana"
"762","Clark County, Indiana"
"763","Clay County, Indiana"
"764","Clinton County, Indiana"
"765","Crawford County, Indiana"
"766","Daviess County, Indiana"
"767","Dearborn County, Indiana"
"768","Decatur County, Indiana"
"769","DeKalb County, Indiana"
"770","Delaware County, Indiana"
"771","Dubois County, Indiana"
"772","Elkhart County, Indiana"
"773","Fayette County, Indiana"
"774","Floyd County, Indiana"
"775","Fountain County, Indiana"
"776","Franklin County, Indiana"
"777","Fulton County, Indiana"
"778","Gibson County, Indiana"
"779","Grant County, Indiana"
"780","Greene County, Indiana"
"781","Hamilton County, Indiana"
"782","Hancock County, Indiana"
"783","Harrison County, Indiana"
"784","Hendricks County, Indiana"
"785","Henry County, Indiana"
"786","Howard County, Indiana"
"787","Huntington County, Indiana"
"788","Jackson County, Indiana"
"789","Jasper County, Indiana"
"790","Jay County, Indiana"
"791","Jefferson County, Indiana"
"792","Jennings County, Indiana"
"793","Johnson County, Indiana"
"794","Knox County, Indiana"
"795","Kosciusko County, Indiana"
"796","LaGrange County, Indiana"
"797","Lake County, Indiana"
"798","LaPorte County, Indiana"
"799","Lawrence County, Indiana"
"800","Madison County, Indiana"
"801","Marion County, Indiana"
"802","Marshall County, Indiana"
"803","Martin County, Indiana"
"804","Miami County, Indiana"
"805","Monroe County, Indiana"
"806","Montgomery County, Indiana"
"807","Morgan County, Indiana"
"808","Newton County, Indiana"
"809","Noble County, Indiana"
"810","Ohio County, Indiana"
"811","Orange County, Indiana"
"812","Owen County, Indiana"
"813","Parke County, Indiana"
"814","Perry County, Indiana"
"815","Pike County, Indiana"
"816","Porter County, Indiana"
"817","Posey County, Indiana"
"818","Pulaski County, Indiana"
"819","Putnam County, Indiana"
"820","Randolph County, Indiana"
"821","Ripley County, Indiana"
"822","Rush County, Indiana"
"823","St. Joseph County, Indiana"
"824","Scott County, Indiana"
"825","Shelby County, Indiana"
"826","Spencer County, Indiana"
"827","Starke County, Indiana"
"828","Steuben County, Indiana"
"829","Sullivan County, Indiana"
"830","Switzerland County, Indiana"
"831","Tippecanoe County, Indiana"
"832","Tipton County, Indiana"
"833","Union County, Indiana"
"834","Vanderburgh County, Indiana"
"835","Vermillion County, Indiana"
"836","Vigo County, Indiana"
"837","Wabash County, Indiana"
"838","Warren County, Indiana"
"839","Warrick County, Indiana"
"840","Washington County, Indiana"
"841","Wayne County, Indiana"
"842","Wells County, Indiana"
"843","White County, Indiana"
"844","Whitley County, Indiana"
"845","Adair County, Iowa"
"846","Adams County, Iowa"
"847","Allamakee County, Iowa"
"848","Appanoose County, Iowa"
"849","Audubon County, Iowa"
"850","Benton County, Iowa"
"851","Black Hawk County, Iowa"
"852","Boone County, Iowa"
"853","Bremer County, Iowa"
"854","Buchanan County, Iowa"
"855","Buena Vista County, Iowa"
"856","Butler County, Iowa"
"857","Calhoun County, Iowa"
"858","Carroll County, Iowa"
"859","Cass County, Iowa"
"860","Cedar County, Iowa"
"861","Cerro Gordo County, Iowa"
"862","Cherokee County, Iowa"
"863","Chickasaw County, Iowa"
"864","Clarke County, Iowa"
"865","Clay County, Iowa"
"866","Clayton County, Iowa"
"867","Clinton County, Iowa"
"868","Crawford County, Iowa"
"869","Dallas County, Iowa"
"870","Davis County, Iowa"
"871","Decatur County, Iowa"
"872","Delaware County, Iowa"
"873","Des Moines County, Iowa"
"874","Dickinson County, Iowa"
"875","Dubuque County, Iowa"
"876","Emmet County, Iowa"
"877","Fayette County, Iowa"
"878","Floyd County, Iowa"
"879","Franklin County, Iowa"
"880","Fremont County, Iowa"
"881","Greene County, Iowa"
"882","Grundy County, Iowa"
"883","Guthrie County, Iowa"
"884","Hamilton County, Iowa"
"885","Hancock County, Iowa"
"886","Hardin County, Iowa"
"887","Harrison County, Iowa"
"888","Henry County, Iowa"
"889","Howard County, Iowa"
"890","Humboldt County, Iowa"
"891","Ida County, Iowa"
"892","Iowa County, Iowa"
"893","Jackson County, Iowa"
"894","Jasper County, Iowa"
"895","Jefferson County, Iowa"
"896","Johnson County, Iowa"
"897","Jones County, Iowa"
"898","Keokuk County, Iowa"
"899","Kossuth County, Iowa"
"900","Lee County, Iowa"
"901","Linn County, Iowa"
"902","Louisa County, Iowa"
"903","Lucas County, Iowa"
"904","Lyon County, Iowa"
"905","Madison County, Iowa"
"906","Mahaska County, Iowa"
"907","Marion County, Iowa"
"908","Marshall County, Iowa"
"909","Mills County, Iowa"
"910","Mitchell County, Iowa"
"911","Monona County, Iowa"
"912","Monroe County, Iowa"
"913","Montgomery County, Iowa"
"914","Muscatine County, Iowa"
"915","O'Brien County, Iowa"
"916","Osceola County, Iowa"
"917","Page County, Iowa"
"918","Palo Alto County, Iowa"
"919","Plymouth County, Iowa"
"920","Pocahontas County, Iowa"
"921","Polk County, Iowa"
"922","Pottawattamie County, Iowa"
"923","Poweshiek County, Iowa"
"924","Ringgold County, Iowa"
"925","Sac County, Iowa"
"926","Scott County, Iowa"
"927","Shelby County, Iowa"
"928","Sioux County, Iowa"
"929","Story County, Iowa"
"930","Tama County, Iowa"
"931","Taylor County, Iowa"
"932","Union County, Iowa"
"933","Van Buren County, Iowa"
"934","Wapello County, Iowa"
"935","Warren County, Iowa"
"936","Washington County, Iowa"
"937","Wayne County, Iowa"
"938","Webster County, Iowa"
"939","Winnebago County, Iowa"
"940","Winneshiek County, Iowa"
"941","Woodbury County, Iowa"
"942","Worth County, Iowa"
"943","Wright County, Iowa"
"944","Allen County, Kansas"
"945","Anderson County, Kansas"
